Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
 01-JUN-2009 00:00,2009,June,1,Monday,0,4,Town Hall (West),194
 01-JUN-2009 00:00,2009,June,1,Monday,0,17,Collins Place (South),21
 01-JUN-2009 00:00,2009,June,1,Monday,0,18,Collins Place (North),9
 01-JUN-2009 00:00,2009,June,1,Monday,0,16,Australia on Collins,39
 01-JUN-2009 00:00,2009,June,1,Monday,0,2,Bourke Street Mall (South),28
 01-JUN-2009 00:00,2009,June,1,Monday,0,1,Bourke Street Mall (North),37
 01-JUN-2009 00:00,2009,June,1,Monday,0,13,Flagstaff Station,1
 01-JUN-2009 00:00,2009,June,1,Monday,0,3,Melbourne Central,155
 01-JUN-2009 00:00,2009,June,1,Monday,0,15,State Library,98
 01-JUN-2009 00:00,2009,June,1,Monday,0,9,Southern Cross Station,7
